//year     ,concentration
1905.17     ,8.854
1905.25     ,8.854
1905.33     ,8.854
1905.42     ,8.854
1905.5     ,8.854
1905.58     ,8.854
1905.67     ,8.854
1905.75     ,8.854
1905.83     ,8.854
1905.92     ,8.854
1906     ,8.854
1906.08     ,8.854
1906.17     ,8.854
1906.25     ,8.854
1906.33     ,8.854
1906.42     ,8.854
1906.5     ,8.854
1906.58     ,8.854
1906.67     ,8.854
1906.75     ,8.854
1906.83     ,8.854
1906.92     ,8.854
1907     ,8.854
1907.08     ,8.854
1907.17     ,8.854
1907.25     ,8.854
1907.33     ,8.854
1907.42     ,8.854
1907.5     ,8.854
1907.58     ,8.854
1907.67     ,8.854
1907.75     ,8.854
1907.83     ,8.854
1907.92     ,8.854
1908     ,8.854
1908.08     ,8.854
1908.17     ,8.854
1908.25     ,8.854
1908.33     ,8.854
1908.42     ,8.854
1908.5     ,8.854
1908.58     ,8.854
1908.67     ,8.854
1908.75     ,8.854
1908.83     ,8.854
1908.92     ,8.854
1909     ,8.854
1909.08     ,8.854
1909.17     ,8.854
1909.25     ,8.854
1909.33     ,8.854
1909.42     ,8.854
1909.5     ,8.854
1909.58     ,8.854
1909.67     ,8.854
1909.75     ,8.854
1909.83     ,8.854
1909.92     ,8.854
1910     ,8.854
1910.08     ,8.854
1910.17     ,8.854
1910.25     ,8.854
1910.33     ,8.854
1910.42     ,8.854
1910.5     ,8.854
1910.58     ,8.854
1910.67     ,8.854
1910.75     ,8.854
1910.83     ,8.854
1910.92     ,8.854
1911     ,8.854
1911.08     ,8.854
1911.17     ,8.854
1911.25     ,8.854
1911.33     ,8.854
1911.42     ,8.854
1911.5     ,8.854
1911.58     ,8.854
1911.67     ,8.854
1911.75     ,8.854
1911.83     ,8.854
1911.92     ,8.854
1912     ,8.854
1912.08     ,8.854
1912.17     ,8.854
1912.25     ,8.854
1912.33     ,8.854
1912.42     ,8.854
1912.5     ,8.854
1912.58     ,8.854
1912.67     ,8.854
1912.75     ,8.854
1912.83     ,8.854
1912.92     ,8.854
1913     ,8.854
1913.08     ,8.854
1913.17     ,8.854
1913.25     ,8.854
1913.33     ,8.854
1913.42     ,8.854
1913.5     ,8.854
1913.58     ,8.854
1913.67     ,8.854
1913.75     ,8.854
1913.83     ,8.854
1913.92     ,8.854
1914     ,8.854
1914.08     ,8.854
1914.17     ,8.854
1914.25     ,8.854
1914.33     ,8.854
1914.42     ,8.854
1914.5     ,8.854
1914.58     ,8.854
1914.67     ,8.854
1914.75     ,8.854
1914.83     ,8.854
1914.92     ,8.854
1915     ,8.854
1915.08     ,8.854
1915.17     ,8.854
1915.25     ,8.854
1915.33     ,8.854
1915.42     ,8.854
1915.5     ,8.854
1915.58     ,8.854
1915.67     ,8.854
1915.75     ,8.854
1915.83     ,8.854
1915.92     ,8.854
1916     ,8.854
1916.08     ,8.854
1916.17     ,8.854
1916.25     ,8.854
1916.33     ,8.854
1916.42     ,8.854
1916.5     ,8.854
1916.58     ,8.854
1916.67     ,8.854
1916.75     ,8.854
1916.83     ,8.854
1916.92     ,8.854
1917     ,8.854
1917.08     ,8.854
1917.17     ,8.854
1917.25     ,8.854
1917.33     ,8.854
1917.42     ,8.854
1917.5     ,8.854
1917.58     ,8.854
1917.67     ,8.854
1917.75     ,8.854
1917.83     ,8.854
1917.92     ,8.854
1918     ,8.854
1918.08     ,8.854
1918.17     ,8.854
1918.25     ,8.854
1918.33     ,8.854
1918.42     ,8.854
1918.5     ,8.854
1918.58     ,8.854
1918.67     ,8.854
1918.75     ,8.854
1918.83     ,8.854
1918.92     ,8.854
1919     ,8.854
1919.08     ,8.854
1919.17     ,8.854
1919.25     ,8.854
1919.33     ,8.854
1919.42     ,8.854
1919.5     ,8.854
1919.58     ,8.854
1919.67     ,8.854
1919.75     ,8.854
1919.83     ,8.854
1919.92     ,8.854
1920     ,8.854
1920.08     ,8.854
1920.17     ,8.854
1920.25     ,8.854
1920.33     ,8.854
1920.42     ,8.854
1920.5     ,8.854
1920.58     ,8.854
1920.67     ,8.854
1920.75     ,8.854
1920.83     ,8.854
1920.92     ,8.854
1921     ,8.854
1921.08     ,8.854
1921.17     ,8.854
1921.25     ,8.854
1921.33     ,8.854
1921.42     ,8.854
1921.5     ,8.854
1921.58     ,8.854
1921.67     ,8.854
1921.75     ,8.854
1921.83     ,8.854
1921.92     ,8.854
1922     ,8.854
1922.08     ,8.854
1922.17     ,8.854
1922.25     ,8.854
1922.33     ,8.854
1922.42     ,8.854
1922.5     ,8.854
1922.58     ,8.854
1922.67     ,8.854
1922.75     ,8.854
1922.83     ,8.854
1922.92     ,8.854
1923     ,8.854
1923.08     ,8.854
1923.17     ,8.854
1923.25     ,8.854
1923.33     ,8.854
1923.42     ,8.854
1923.5     ,8.854
1923.58     ,8.854
1923.67     ,8.854
1923.75     ,8.854
1923.83     ,8.854
1923.92     ,8.854
1924     ,8.854
1924.08     ,8.854
1924.17     ,8.854
1924.25     ,8.854
1924.33     ,8.854
1924.42     ,8.854
1924.5     ,8.854
1924.58     ,8.854
1924.67     ,8.854
1924.75     ,8.854
1924.83     ,8.854
1924.92     ,8.854
1925     ,8.854
1925.08     ,8.854
1925.17     ,8.854
1925.25     ,8.854
1925.33     ,8.854
1925.42     ,8.854
1925.5     ,8.854
1925.58     ,8.854
1925.67     ,8.854
1925.75     ,8.854
1925.83     ,8.854
1925.92     ,8.854
1926     ,8.854
1926.08     ,8.854
1926.17     ,8.854
1926.25     ,8.854
1926.33     ,8.854
1926.42     ,8.854
1926.5     ,8.854
1926.58     ,8.854
1926.67     ,8.854
1926.75     ,8.854
1926.83     ,8.854
1926.92     ,8.854
1927     ,8.854
1927.08     ,8.854
1927.17     ,8.854
1927.25     ,8.854
1927.33     ,8.854
1927.42     ,8.854
1927.5     ,8.854
1927.58     ,8.854
1927.67     ,8.854
1927.75     ,8.854
1927.83     ,8.854
1927.92     ,8.854
1928     ,8.854
1928.08     ,8.854
1928.17     ,8.854
1928.25     ,8.854
1928.33     ,8.854
1928.42     ,8.854
1928.5     ,8.854
1928.58     ,8.854
1928.67     ,8.854
1928.75     ,8.854
1928.83     ,8.854
1928.92     ,8.854
1929     ,8.854
1929.08     ,8.854
1929.17     ,8.854
1929.25     ,8.854
1929.33     ,8.854
1929.42     ,8.854
1929.5     ,8.854
1929.58     ,8.854
1929.67     ,8.854
1929.75     ,8.854
1929.83     ,8.854
1929.92     ,8.854
1930     ,8.854
1930.08     ,8.854
1930.17     ,8.854
1930.25     ,8.854
1930.33     ,8.854
1930.42     ,8.854
1930.5     ,8.854
1930.58     ,8.854
1930.67     ,8.854
1930.75     ,8.854
1930.83     ,8.854
