sample_no, 3H_std, Well1_P1, log_posterior, log_posterior_transformed, stuck_counter, perturbation_coeff_0, perturbation_coeff_1, 
25, 6.622280e-01, 7.624473e+00, -3.957012e+00, -5.347687e+00, 0.000000, 4.605170e-01, 3.532212e-01, 
26, 1.542170e-01, 7.131099e+00, -2.459220e+00, -2.459220e+00, 1.000000, 4.605170e-01, 3.532212e-01, 
27, 7.942581e-02, 6.984449e+00, -2.217701e+00, -5.880246e+00, 1.000000, 4.605170e-01, 3.532212e-01, 
28, 1.775806e-01, 7.861948e+00, -2.649510e+00, -3.188968e+00, 0.000000, 4.605170e-01, 3.532212e-01, 
29, 1.398401e-01, 5.986008e+00, -2.414309e+00, -3.569876e+00, 0.000000, 4.605170e-01, 3.532212e-01, 
30, 1.642995e-01, 6.466577e+00, -2.459628e+00, -4.725572e+00, 0.000000, 4.605170e-01, 3.532212e-01, 
31, 1.361539e-01, 3.591151e+00, -3.015600e+00, -3.015600e+00, 0.000000, 4.605170e-01, 3.532212e-01, 
32, 5.842966e-02, 7.034895e+00, -2.264984e+00, -5.141853e+00, 0.000000, 4.605170e-01, 3.532212e-01, 
33, 8.712278e-01, 7.035128e+00, -4.205972e+00, -4.205972e+00, 0.000000, 4.605170e-01, 3.532212e-01, 
34, 1.931645e-01, 3.141252e+00, -2.583342e+00, -2.583342e+00, 1.000000, 4.605170e-01, 3.532212e-01, 
35, 7.942581e-02, 6.984449e+00, -2.217701e+00, -2.377634e+00, 1.000000, 4.605170e-01, 3.532212e-01, 
36, 1.775806e-01, 7.861948e+00, -2.649510e+00, -3.718149e+00, 0.000000, 4.605170e-01, 3.532212e-01, 
37, 2.594444e-01, 4.344511e+00, -2.541903e+00, -2.541903e+00, 0.000000, 4.605170e-01, 3.532212e-01, 
38, 1.642995e-01, 6.466577e+00, -2.459628e+00, -2.735293e+00, 0.000000, 4.605170e-01, 3.532212e-01, 
39, 4.482152e-01, 5.186416e+00, -3.070982e+00, -3.070982e+00, 0.000000, 4.605170e-01, 3.532212e-01, 
40, 5.746279e-02, 9.203351e+00, -2.559560e+00, -2.559560e+00, 0.000000, 4.605170e-01, 3.532212e-01, 
41, 1.363236e+00, 8.013734e+00, -5.012771e+00, -5.012771e+00, 0.000000, 4.605170e-01, 3.532212e-01, 
42, 2.593869e-01, 2.088587e+00, -2.385833e+00, -2.385833e+00, 1.000000, 4.605170e-01, 3.532212e-01, 
43, 7.942581e-02, 6.984449e+00, -2.217701e+00, -4.426855e+00, 1.000000, 4.605170e-01, 3.532212e-01, 
44, 2.326035e-01, 5.512632e+00, -2.589129e+00, -2.589129e+00, 0.000000, 4.605170e-01, 3.532212e-01, 
45, 1.839872e-01, 4.215955e+00, -2.525960e+00, -2.525960e+00, 0.000000, 4.605170e-01, 3.532212e-01, 
46, 7.999677e-02, 6.544999e+00, -2.375247e+00, -2.375247e+00, 0.000000, 4.605170e-01, 3.532212e-01, 
47, 2.500141e-01, 5.659607e+00, -2.647919e+00, -2.647919e+00, 0.000000, 4.605170e-01, 3.532212e-01, 
48, 9.078727e-02, 5.919185e+00, -2.582012e+00, -2.582012e+00, 0.000000, 4.605170e-01, 3.532212e-01, 
49, 2.480414e+00, 6.655012e+00, -5.717868e+00, -5.717868e+00, 0.000000, 4.605170e-01, 3.532212e-01, 
50, 2.593869e-01, 2.088587e+00, -2.385833e+00, -4.485191e+00, 1.000000, 4.605170e-01, 3.532212e-01, 
51, 6.567446e-02, 6.934319e+00, -2.272368e+00, -2.272368e+00, 1.000000, 4.605170e-01, 3.532212e-01, 
52, 3.223179e-01, 3.829125e+00, -2.581712e+00, -2.581712e+00, 0.000000, 4.605170e-01, 3.532212e-01, 
53, 1.391996e-01, 5.610790e+00, -2.454269e+00, -2.454269e+00, 0.000000, 4.605170e-01, 3.532212e-01, 
54, 7.832923e-02, 7.998972e+00, -2.127198e+00, -2.127198e+00, 0.000000, 4.605170e-01, 3.532212e-01, 
55, 2.500141e-01, 5.659607e+00, -2.647919e+00, -2.764768e+00, 0.000000, 4.605170e-01, 3.532212e-01, 
56, 1.362190e-01, 5.595079e+00, -2.459782e+00, -2.459782e+00, 0.000000, 4.605170e-01, 3.532212e-01, 
57, 2.480414e+00, 6.655012e+00, -5.717868e+00, -7.394164e+00, 0.000000, 4.605170e-01, 3.532212e-01, 
58, 2.862140e-01, 1.930667e+00, -2.334880e+00, -2.334880e+00, 1.000000, 4.605170e-01, 3.532212e-01, 
59, 5.140028e-02, 6.095052e+00, -3.601459e+00, -3.601459e+00, 1.000000, 4.605170e-01, 3.532212e-01, 
60, 4.473272e-01, 7.877933e+00, -3.537575e+00, -3.537575e+00, 0.000000, 4.605170e-01, 3.532212e-01, 
61, 2.347292e-01, 3.406387e+00, -2.472951e+00, -2.472951e+00, 0.000000, 4.605170e-01, 3.532212e-01, 
62, 7.832923e-02, 7.998972e+00, -2.127198e+00, -3.186058e+00, 0.000000, 4.605170e-01, 3.532212e-01, 
63, 1.284379e-01, 4.590473e+00, -2.742333e+00, -2.742333e+00, 0.000000, 4.605170e-01, 3.532212e-01, 
64, 3.135793e-01, 5.245798e+00, -2.760334e+00, -2.760334e+00, 0.000000, 4.605170e-01, 3.532212e-01, 
65, 2.030889e+00, 6.531779e+00, -5.363083e+00, -5.363083e+00, 0.000000, 4.605170e-01, 3.532212e-01, 
66, 2.862140e-01, 1.930667e+00, -2.334880e+00, -2.625278e+00, 1.000000, 4.605170e-01, 3.532212e-01, 
67, 7.853191e-02, 5.372329e+00, -3.222840e+00, -3.222840e+00, 1.000000, 4.605170e-01, 3.532212e-01, 
